input.source,input.name,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,tool,exit_status,exit_code,time,output.ap,output.states,output.edges,output.transitions,output.acc_sets,output.scc,output.nondetstates,output.nondeterministic,output.alternating
data/automata/random/FINLESS.hoa:17955.1-18103.7,,2,38,103,103,13,5,14,1,0,Seminator,exit code,137,125.276,,,,,,,,,
data/automata/random/FINLESS.hoa:38868.1-38958.7,,2,20,62,62,4,2,17,1,0,Seminator,exit code,137,91.8351,,,,,,,,,
data/automata/random/FINLESS.hoa:43091.1-43185.7,,2,22,65,65,9,3,12,1,0,Seminator,exit code,137,296.881,,,,,,,,,
data/automata/random/FINLESS.hoa:315.1-495.7,,6,56,117,117,11,24,5,1,0,SimCo+,ok,0,44.903,6,249,1196,22848,1,37,108,1,0
data/automata/random/FINLESS.hoa:315.1-495.7,,6,56,117,117,11,24,5,1,0,Kofola,ok,0,0.00839508,6,55,222,3560,1,2,31,1,0
data/automata/random/FINLESS.hoa:315.1-495.7,,6,56,117,117,11,24,5,1,0,Seminator,ok,0,0.0202854,6,44,114,1454,1,2,13,1,0
data/automata/random/FINLESS.hoa:315.1-495.7,,6,56,117,117,11,24,5,1,0,Autfilt,ok,0,0.00497171,6,84,229,2839,1,18,26,1,0
data/automata/random/FINLESS.hoa:562.1-686.7,,6,32,85,85,3,9,5,1,0,SimCo,ok,0,40.725,6,1628,128768,128768,2,371,384,1,0
data/automata/random/FINLESS.hoa:562.1-686.7,,6,32,85,85,3,9,5,1,0,SimCo+,ok,0,4.98859,6,178,832,15616,1,48,66,1,0
data/automata/random/FINLESS.hoa:562.1-686.7,,6,32,85,85,3,9,5,1,0,Kofola,ok,0,0.00663232,6,38,151,2451,2,6,15,1,0
data/automata/random/FINLESS.hoa:562.1-686.7,,6,32,85,85,3,9,5,1,0,Seminator,ok,0,0.0184639,6,42,140,1775,1,6,14,1,0
data/automata/random/FINLESS.hoa:562.1-686.7,,6,32,85,85,3,9,5,1,0,Autfilt,ok,0,0.00482957,6,44,141,2262,1,9,6,1,0
data/automata/random/FINLESS.hoa:778.1-847.7,,6,17,45,45,3,4,3,1,0,SimCo,ok,0,9.06792,6,473,40576,40576,2,84,161,1,0
data/automata/random/FINLESS.hoa:778.1-847.7,,6,17,45,45,3,4,3,1,0,SimCo+,ok,0,1.33138,6,77,429,6976,1,20,32,1,0
data/automata/random/FINLESS.hoa:778.1-847.7,,6,17,45,45,3,4,3,1,0,Kofola,ok,0,0.00586476,6,18,76,1157,1,2,5,1,0
data/automata/random/FINLESS.hoa:778.1-847.7,,6,17,45,45,3,4,3,1,0,Seminator,ok,0,0.00803408,6,18,59,841,1,2,3,1,0
data/automata/random/FINLESS.hoa:778.1-847.7,,6,17,45,45,3,4,3,1,0,Autfilt,ok,0,0.00474007,6,25,87,869,1,4,7,1,0
data/automata/random/FINLESS.hoa:1242.1-1262.7,,6,4,9,9,3,2,2,1,0,SimCo,ok,0,2.41441,6,180,15552,15552,2,111,63,1,0
data/automata/random/FINLESS.hoa:1242.1-1262.7,,6,4,9,9,3,2,2,1,0,SimCo+,ok,0,0.631881,6,39,171,3456,1,25,15,1,0
data/automata/random/FINLESS.hoa:1242.1-1262.7,,6,4,9,9,3,2,2,1,0,Kofola,ok,0,0.00450052,6,7,24,452,1,3,4,1,0
data/automata/random/FINLESS.hoa:1242.1-1262.7,,6,4,9,9,3,2,2,1,0,Seminator,ok,0,0.00725276,6,9,27,456,1,6,4,1,0
data/automata/random/FINLESS.hoa:1242.1-1262.7,,6,4,9,9,3,2,2,1,0,Autfilt,ok,0,0.00362067,6,7,19,325,1,3,2,1,0
data/automata/random/FINLESS.hoa:1359.1-1464.7,,6,29,69,69,5,13,4,1,0,SimCo+,ok,0,4.94159,6,117,596,10304,1,38,44,1,0
