input.source,input.name,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,tool,exit_status,exit_code,time,output.ap,output.states,output.edges,output.transitions,output.acc_sets,output.scc,output.nondetstates,output.nondeterministic,output.alternating
data/automata/practice/practice_automata.hoa:306164.1-434130.7,,8,14995,112964,167953,8,10354,6156,1,0,Kofola,ok,0,9.97407,8,840,5634,215040,1,162,0,0,0
data/automata/practice/practice_automata.hoa:306164.1-434130.7,,8,14995,112964,167953,8,10354,6156,1,0,Seminator,ok,0,6.7967,8,1174,8339,300059,1,330,44,1,0
data/automata/practice/practice_automata.hoa:306164.1-434130.7,,8,14995,112964,167953,8,10354,6156,1,0,Autfilt,ok,0,0.0855236,8,2277,17362,582912,1,729,0,0,0
data/automata/practice/practice_automata.hoa:306164.1-434130.7,,8,14995,112964,167953,8,10354,6156,1,0,SaGE,timeout,-1,300.001,,,,,,,,,
data/automata/practice/practice_automata.hoa:306164.1-434130.7,,8,14995,112964,167953,8,10354,6156,1,0,SaGE+,timeout,-1,300.001,,,,,,,,,
data/automata/practice/practice_automata.hoa:31874.1-192800.7,,8,20700,140219,188816,7,12907,7878,1,0,Kofola,ok,0,3.00049,8,38299,359536,7848055,1,7050,30115,1,0
data/automata/practice/practice_automata.hoa:31874.1-192800.7,,8,20700,140219,188816,7,12907,7878,1,0,Autfilt,ok,0,0.747548,8,50403,314012,7910637,1,11061,12659,1,0
data/automata/practice/practice_automata.hoa:608004.1-640581.7,,14,1983,30587,38652,7,1022,1055,1,0,Kofola,ok,0,0.025582,14,2,2,32768,1,2,0,0,0
data/automata/practice/practice_automata.hoa:608004.1-640581.7,,14,1983,30587,38652,7,1022,1055,1,0,Seminator,ok,0,0.0261683,0,1,1,1,0,1,0,0,0
data/automata/practice/practice_automata.hoa:608004.1-640581.7,,14,1983,30587,38652,7,1022,1055,1,0,Autfilt,ok,0,0.0242485,14,1,1,16384,1,1,0,0,0
data/automata/practice/practice_automata.hoa:31874.1-192800.7,,8,20700,140219,188816,7,12907,7878,1,0,SaGE,timeout,-1,300,,,,,,,,,
data/automata/practice/practice_automata.hoa:31874.1-192800.7,,8,20700,140219,188816,7,12907,7878,1,0,SaGE+,timeout,-1,300.001,,,,,,,,,
data/automata/practice/practice_automata.hoa:31874.1-192800.7,,8,20700,140219,188816,7,12907,7878,1,0,Seminator,timeout,-1,300,,,,,,,,,
data/automata/practice/practice_automata.hoa:608004.1-640581.7,,14,1983,30587,38652,7,1022,1055,1,0,SaGE,timeout,-1,300,,,,,,,,,
data/automata/practice/practice_automata.hoa:608004.1-640581.7,,14,1983,30587,38652,7,1022,1055,1,0,SaGE+,timeout,-1,300,,,,,,,,,
data/automata/practice/practice_automata.hoa:695988.1-1365326.7,,5,79267,590063,629154,6,25776,38907,1,0,Seminator,exit code,137,98.8895,,,,,,,,,
data/automata/practice/practice_automata.hoa:251778.1-290151.7,,14,1948,36418,44950,6,346,486,1,0,Kofola,ok,0,22.172,14,46067,1397720,755265911,2,46,40954,1,0
data/automata/practice/practice_automata.hoa:251778.1-290151.7,,14,1948,36418,44950,6,346,486,1,0,Seminator,ok,0,15.7038,14,23464,302760,71466974,1,46,4341,1,0
data/automata/practice/practice_automata.hoa:251778.1-290151.7,,14,1948,36418,44950,6,346,486,1,0,Autfilt,ok,0,5.34586,14,26413,436084,221216901,1,821,10175,1,0
data/automata/practice/practice_automata.hoa:695988.1-1365326.7,,5,79267,590063,629154,6,25776,38907,1,0,Kofola,ok,0,39.7539,5,139712,1499864,4724556,1,3324,127262,1,0
