"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"data/automata/practice/practice_automata.hoa:1.1-8843.7",,3,1933,6901,7393,4,550,925,1,0,"SimCo","ok",0,154.527,3,34484,397240,397240,1,8108,15171,1,0
"data/automata/practice/practice_automata.hoa:1.1-8843.7",,3,1933,6901,7393,4,550,925,1,0,"SimCo+","ok",0,20.5131,3,4249,30731,49984,1,1258,1999,1,0
"data/automata/practice/practice_automata.hoa:1.1-8843.7",,3,1933,6901,7393,4,550,925,1,0,"Kofola","ok",0,0.32929,3,247,1143,2054,1,48,77,1,0
"data/automata/practice/practice_automata.hoa:1.1-8843.7",,3,1933,6901,7393,4,550,925,1,0,"Seminator","ok",0,0.545386,3,183,643,1145,1,33,32,1,0
"data/automata/practice/practice_automata.hoa:1.1-8843.7",,3,1933,6901,7393,4,550,925,1,0,"Autfilt","ok",0,0.132911,3,424,1618,2708,1,139,75,1,0
"data/automata/practice/practice_automata.hoa:8844.1-9203.7",,5,74,277,610,2,6,20,1,0,"SimCo","ok",0,60.0029,5,10819,409056,409056,1,3917,1964,1,0
"data/automata/practice/practice_automata.hoa:8844.1-9203.7",,5,74,277,610,2,6,20,1,0,"SimCo+","ok",0,7.94116,5,969,7757,40672,1,250,302,1,0
"data/automata/practice/practice_automata.hoa:8844.1-9203.7",,5,74,277,610,2,6,20,1,0,"Kofola","ok",0,0.0406897,5,206,1478,7141,2,6,135,1,0
"data/automata/practice/practice_automata.hoa:8844.1-9203.7",,5,74,277,610,2,6,20,1,0,"Seminator","ok",0,0.483355,5,145,680,2954,1,9,38,1,0
"data/automata/practice/practice_automata.hoa:8844.1-9203.7",,5,74,277,610,2,6,20,1,0,"Autfilt","ok",0,0.00904356,5,260,1496,4742,1,21,43,1,0
"data/automata/practice/practice_automata.hoa:9204.1-9398.7",,4,32,154,154,2,23,19,1,0,"SimCo","ok",0,0.820721,4,217,5040,5040,1,82,98,1,0
"data/automata/practice/practice_automata.hoa:9204.1-9398.7",,4,32,154,154,2,23,19,1,0,"SimCo+","ok",0,0.195852,4,53,1264,1264,1,22,26,1,0
"data/automata/practice/practice_automata.hoa:9204.1-9398.7",,4,32,154,154,2,23,19,1,0,"Kofola","ok",0,0.00533124,4,10,46,160,1,3,0,0,0
"data/automata/practice/practice_automata.hoa:9204.1-9398.7",,4,32,154,154,2,23,19,1,0,"Seminator","ok",0,0.00605621,4,7,31,112,1,2,0,0,0
"data/automata/practice/practice_automata.hoa:9204.1-9398.7",,4,32,154,154,2,23,19,1,0,"Autfilt","ok",0,0.00412814,4,8,36,128,1,2,0,0,0
"data/automata/practice/practice_automata.hoa:9399.1-9440.7",,3,14,19,19,2,14,6,1,0,"SimCo","ok",0,0.0555802,3,26,312,312,1,25,13,1,0
"data/automata/practice/practice_automata.hoa:9399.1-9440.7",,3,14,19,19,2,14,6,1,0,"SimCo+","ok",0,0.05232,3,20,240,240,1,20,10,1,0
"data/automata/practice/practice_automata.hoa:9399.1-9440.7",,3,14,19,19,2,14,6,1,0,"Kofola","ok",0,0.00602429,3,9,17,72,1,9,0,0,0
"data/automata/practice/practice_automata.hoa:9399.1-9440.7",,3,14,19,19,2,14,6,1,0,"Seminator","ok",0,0.00418478,3,9,17,72,1,9,0,0,0
"data/automata/practice/practice_automata.hoa:9399.1-9440.7",,3,14,19,19,2,14,6,1,0,"Autfilt","ok",0,0.00363021,3,10,19,80,1,10,0,0,0
"data/automata/practice/practice_automata.hoa:9441.1-9477.7",,3,6,22,40,2,3,2,1,0,"SimCo","ok",0,0.110712,3,81,936,936,1,23,36,1,0
"data/automata/practice/practice_automata.hoa:9441.1-9477.7",,3,6,22,40,2,3,2,1,0,"SimCo+","ok",0,0.0588345,3,26,304,304,1,9,12,1,0
"data/automata/practice/practice_automata.hoa:9441.1-9477.7",,3,6,22,40,2,3,2,1,0,"Kofola","ok",0,0.00467934,3,5,19,40,1,1,0,0,0
"data/automata/practice/practice_automata.hoa:9441.1-9477.7",,3,6,22,40,2,3,2,1,0,"Seminator","ok",0,0.00407912,3,4,15,32,1,1,0,0,0
"data/automata/practice/practice_automata.hoa:9441.1-9477.7",,3,6,22,40,2,3,2,1,0,"Autfilt","ok",0,0.00361364,3,5,19,40,1,1,0,0,0
"data/automata/practice/practice_automata.hoa:9478.1-11460.7",,4,317,1657,4487,1,53,70,1,0,"SimCo","ok",0,9.98837,4,4245,91616,91616,1,995,1481,1,0
"data/automata/practice/practice_automata.hoa:9478.1-11460.7",,4,317,1657,4487,1,53,70,1,0,"SimCo+","ok",0,5.72894,4,1464,8752,19421,1,255,583,1,0
"data/automata/practice/practice_automata.hoa:9478.1-11460.7",,4,317,1657,4487,1,53,70,1,0,"Kofola","ok",0,0.65657,4,286,1274,2946,2,15,79,1,0
"data/automata/practice/practice_automata.hoa:9478.1-11460.7",,4,317,1657,4487,1,53,70,1,0,"Seminator","ok",0,1.31788,4,329,1351,3116,1,15,97,1,0
"data/automata/practice/practice_automata.hoa:9478.1-11460.7",,4,317,1657,4487,1,53,70,1,0,"Autfilt","ok",0,0.158636,4,427,1918,4347,1,43,121,1,0
"data/automata/practice/practice_automata.hoa:11461.1-14152.7",,8,138,2545,10099,2,45,77,1,0,"SimCo","ok",0,188.078,8,982,361984,361984,1,166,432,1,0
"data/automata/practice/practice_automata.hoa:11461.1-14152.7",,8,138,2545,10099,2,45,77,1,0,"SimCo+","ok",0,46.3895,8,255,97792,97792,1,28,127,1,0
