"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo_S_J_SCC","ok",0,0.111066,2,84,440,440,1,18,26,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo_S_J_M_SCC","ok",0,0.0978155,2,84,440,440,1,18,26,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo_M_ET_RR","ok",0,0.198142,2,356,1780,1780,1,106,89,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo_S_J_SCC","ok",0,0.0499141,2,11,60,60,1,5,4,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo_S_J_M_SCC","ok",0,0.0506154,2,11,60,60,1,5,4,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo_M_ET_RR","ok",0,0.0525698,2,15,84,84,1,8,6,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo_S_J_SCC","ok",0,0.0546154,2,10,56,56,1,8,4,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo_S_J_M_SCC","ok",0,0.0477597,2,10,56,56,1,8,4,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo_M_ET_RR","ok",0,0.0453432,2,13,72,72,1,11,5,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo_S_J_SCC","ok",0,0.0489185,2,16,92,92,1,12,7,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo_S_J_M_SCC","ok",0,0.0463455,2,16,92,92,1,12,7,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo_M_ET_RR","ok",0,0.0497526,2,18,104,104,1,14,8,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SimCo_S_J_SCC","ok",0,0.0990776,2,83,432,432,1,29,25,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SimCo_S_J_M_SCC","ok",0,0.0901349,2,78,412,412,1,28,25,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SimCo_M_ET_RR","ok",0,0.165772,2,292,1440,1440,1,133,68,1,0
"data/automata/random/TGBA.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SimCo_S_J_SCC","ok",0,0.058783,2,29,168,168,1,14,13,1,0
"data/automata/random/TGBA.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SimCo_S_J_M_SCC","ok",0,0.0606501,2,29,168,168,1,14,13,1,0
"data/automata/random/TGBA.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SimCo_M_ET_RR","ok",0,0.06569,2,53,280,280,1,28,17,1,0
"data/automata/random/TGBA.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SimCo_S_J_SCC","ok",0,0.152389,2,156,860,860,1,66,59,1,0
"data/automata/random/TGBA.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SimCo_S_J_M_SCC","ok",0,0.134328,2,156,860,860,1,66,59,1,0
"data/automata/random/TGBA.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SimCo_M_ET_RR","ok",0,0.317982,2,681,3476,3476,1,305,188,1,0
"data/automata/random/TGBA.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SimCo_S_J_SCC","ok",0,0.0704757,2,35,145,196,1,17,14,1,0
"data/automata/random/TGBA.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SimCo_S_J_M_SCC","ok",0,0.066457,2,35,145,196,1,17,14,1,0
"data/automata/random/TGBA.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SimCo_M_ET_RR","ok",0,0.124845,2,175,960,960,1,97,65,1,0
"data/automata/random/TGBA.hoa:184.1-210.7",,2,6,12,12,2,2,2,1,0,"SimCo_S_J_SCC","ok",0,0.067868,2,55,316,316,1,28,24,1,0
"data/automata/random/TGBA.hoa:184.1-210.7",,2,6,12,12,2,2,2,1,0,"SimCo_S_J_M_SCC","ok",0,0.0678986,2,55,316,316,1,28,24,1,0
"data/automata/random/TGBA.hoa:184.1-210.7",,2,6,12,12,2,2,2,1,0,"SimCo_M_ET_RR","ok",0,0.0689674,2,86,480,480,1,50,34,1,0
"data/automata/random/TGBA.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SimCo_S_J_SCC","ok",0,0.0461128,2,10,60,60,1,8,5,1,0
"data/automata/random/TGBA.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SimCo_S_J_M_SCC","ok",0,0.0465138,2,10,60,60,1,8,5,1,0
"data/automata/random/TGBA.hoa:211.1-224.7",,2,2,3,3,2,1,1,1,0,"SimCo_M_ET_RR","ok",0,0.0439872,2,15,84,84,1,13,6,1,0
"data/automata/random/TGBA.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SimCo_S_J_SCC","ok",0,0.0618591,2,45,260,260,1,29,20,1,0
"data/automata/random/TGBA.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SimCo_S_J_M_SCC","ok",0,0.0643145,2,45,260,260,1,29,20,1,0
"data/automata/random/TGBA.hoa:225.1-252.7",,2,7,12,12,2,2,3,1,0,"SimCo_M_ET_RR","ok",0,0.0813878,2,106,568,568,1,57,36,1,0
"data/automata/random/TGBA.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SimCo_S_J_SCC","ok",0,0.100588,2,106,596,596,1,28,43,1,0
"data/automata/random/TGBA.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SimCo_S_J_M_SCC","ok",0,0.0943034,2,106,596,596,1,28,43,1,0
"data/automata/random/TGBA.hoa:253.1-282.7",,2,6,15,15,2,1,1,1,0,"SimCo_M_ET_RR","ok",0,0.145946,2,292,1596,1596,1,73,107,1,0
"data/automata/random/TGBA.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SimCo_S_J_SCC","ok",0,0.0631532,2,41,236,236,1,24,18,1,0
"data/automata/random/TGBA.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SimCo_S_J_M_SCC","ok",0,0.0658076,2,41,236,236,1,24,18,1,0
"data/automata/random/TGBA.hoa:283.1-304.7",,2,4,9,9,2,1,2,1,0,"SimCo_M_ET_RR","ok",0,0.0810187,2,100,532,532,1,55,33,1,0
"data/automata/random/TGBA.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SimCo_S_J_SCC","ok",0,0.0533683,2,25,144,144,1,16,11,1,0
"data/automata/random/TGBA.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SimCo_S_J_M_SCC","ok",0,0.0523085,2,25,144,144,1,16,11,1,0
"data/automata/random/TGBA.hoa:305.1-327.7",,2,5,9,9,2,2,2,1,0,"SimCo_M_ET_RR","ok",0,0.0643172,2,70,352,352,1,46,18,1,0
"data/automata/random/TGBA.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SimCo_S_J_SCC","ok",0,0.136684,2,168,864,864,1,84,48,1,0
"data/automata/random/TGBA.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SimCo_S_J_M_SCC","ok",0,0.12977,2,147,780,780,1,64,48,1,0
"data/automata/random/TGBA.hoa:328.1-355.7",,2,6,13,13,2,1,1,1,0,"SimCo_M_ET_RR","ok",0,0.264927,2,451,2288,2288,1,198,121,1,0
"data/automata/random/TGBA.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SimCo_S_J_SCC","ok",0,0.0745545,2,60,340,340,1,27,25,1,0
"data/automata/random/TGBA.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SimCo_S_J_M_SCC","ok",0,0.0858976,2,60,340,340,1,27,25,1,0
"data/automata/random/TGBA.hoa:356.1-376.7",,2,4,8,8,2,1,1,1,0,"SimCo_M_ET_RR","ok",0,0.0841853,2,116,652,652,1,50,47,1,0
"data/automata/random/TGBA.hoa:377.1-402.7",,2,5,12,12,2,1,3,1,0,"SimCo_S_J_SCC","ok",0,0.0697023,2,46,264,264,1,18,20,1,0
"data/automata/random/TGBA.hoa:377.1-402.7",,2,5,12,12,2,1,3,1,0,"SimCo_S_J_M_SCC","ok",0,0.0715335,2,46,264,264,1,18,20,1,0
"data/automata/random/TGBA.hoa:377.1-402.7",,2,5,12,12,2,1,3,1,0,"SimCo_M_ET_RR","ok",0,0.117112,2,174,948,948,1,66,63,1,0
"data/automata/random/TGBA.hoa:403.1-434.7",,2,7,16,16,2,1,3,1,0,"SimCo_S_J_SCC","ok",0,0.291436,2,352,1812,1812,1,166,101,1,0
"data/automata/random/TGBA.hoa:403.1-434.7",,2,7,16,16,2,1,3,1,0,"SimCo_S_J_M_SCC","ok",0,0.292834,2,330,1724,1724,1,156,101,1,0
"data/automata/random/TGBA.hoa:403.1-434.7",,2,7,16,16,2,1,3,1,0,"SimCo_M_ET_RR","ok",0,0.768486,2,1481,7284,7284,1,783,340,1,0
"data/automata/random/TGBA.hoa:435.1-469.7",,2,7,19,19,2,1,2,1,0,"SimCo_S_J_SCC","ok",0,0.15803,2,186,996,996,1,81,63,1,0
"data/automata/random/TGBA.hoa:435.1-469.7",,2,7,19,19,2,1,2,1,0,"SimCo_S_J_M_SCC","ok",0,0.162884,2,182,980,980,1,79,63,1,0
"data/automata/random/TGBA.hoa:435.1-469.7",,2,7,19,19,2,1,2,1,0,"SimCo_M_ET_RR","ok",0,0.361654,2,687,3492,3492,1,291,186,1,0
"data/automata/random/TGBA.hoa:470.1-501.7",,2,7,16,16,2,1,1,1,0,"SimCo_S_J_SCC","ok",0,0.0855715,2,83,460,460,1,38,32,1,0
"data/automata/random/TGBA.hoa:470.1-501.7",,2,7,16,16,2,1,1,1,0,"SimCo_S_J_M_SCC","ok",0,0.0835892,2,78,440,440,1,33,32,1,0
"data/automata/random/TGBA.hoa:470.1-501.7",,2,7,16,16,2,1,1,1,0,"SimCo_M_ET_RR","ok",0,0.134412,2,248,1336,1336,1,94,86,1,0
"data/automata/random/TGBA.hoa:502.1-533.7",,2,7,16,16,2,1,3,1,0,"SimCo_S_J_SCC","ok",0,0.121003,2,147,776,776,1,46,47,1,0
"data/automata/random/TGBA.hoa:502.1-533.7",,2,7,16,16,2,1,3,1,0,"SimCo_S_J_M_SCC","ok",0,0.124944,2,147,776,776,1,46,47,1,0
"data/automata/random/TGBA.hoa:502.1-533.7",,2,7,16,16,2,1,3,1,0,"SimCo_M_ET_RR","ok",0,0.280631,2,597,2980,2980,1,209,148,1,0
"data/automata/random/TGBA.hoa:534.1-567.7",,2,7,18,18,2,1,2,1,0,"SimCo_S_J_SCC","ok",0,0.220707,2,241,1164,1164,1,122,50,1,0
"data/automata/random/TGBA.hoa:534.1-567.7",,2,7,18,18,2,1,2,1,0,"SimCo_S_J_M_SCC","ok",0,0.208315,2,218,1072,1072,1,111,50,1,0
"data/automata/random/TGBA.hoa:534.1-567.7",,2,7,18,18,2,1,2,1,0,"SimCo_M_ET_RR","ok",0,0.448063,2,889,4176,4176,1,456,155,1,0
"data/automata/random/TGBA.hoa:568.1-594.7",,2,6,12,12,2,2,1,1,0,"SimCo_S_J_SCC","ok",0,0.0590105,2,43,240,240,1,16,17,1,0
"data/automata/random/TGBA.hoa:568.1-594.7",,2,6,12,12,2,2,1,1,0,"SimCo_S_J_M_SCC","ok",0,0.0614235,2,43,240,240,1,16,17,1,0
"data/automata/random/TGBA.hoa:568.1-594.7",,2,6,12,12,2,2,1,1,0,"SimCo_M_ET_RR","ok",0,0.0675053,2,76,424,424,1,22,30,1,0
"data/automata/random/TGBA.hoa:595.1-627.7",,2,7,17,17,2,1,3,1,0,"SimCo_S_J_SCC","ok",0,0.0851879,2,64,360,360,1,29,26,1,0
"data/automata/random/TGBA.hoa:595.1-627.7",,2,7,17,17,2,1,3,1,0,"SimCo_S_J_M_SCC","ok",0,0.0769066,2,64,360,360,1,29,26,1,0
"data/automata/random/TGBA.hoa:595.1-627.7",,2,7,17,17,2,1,3,1,0,"SimCo_M_ET_RR","ok",0,0.129484,2,237,1208,1208,1,110,65,1,0
"data/automata/random/TGBA.hoa:628.1-647.7",,2,4,7,7,2,1,0,0,0,"SimCo_S_J_SCC","ok",0,0.0468657,2,12,68,68,1,5,5,1,0
"data/automata/random/TGBA.hoa:628.1-647.7",,2,4,7,7,2,1,0,0,0,"SimCo_S_J_M_SCC","ok",0,0.0464626,2,12,68,68,1,5,5,1,0
"data/automata/random/TGBA.hoa:628.1-647.7",,2,4,7,7,2,1,0,0,0,"SimCo_M_ET_RR","ok",0,0.0459586,2,21,124,124,1,9,10,1,0
"data/automata/random/TGBA.hoa:648.1-679.7",,2,6,17,17,2,1,2,1,0,"SimCo_S_J_SCC","ok",0,0.100938,2,89,476,476,1,35,30,1,0
"data/automata/random/TGBA.hoa:648.1-679.7",,2,6,17,17,2,1,2,1,0,"SimCo_S_J_M_SCC","ok",0,0.125723,2,89,476,476,1,35,30,1,0
"data/automata/random/TGBA.hoa:648.1-679.7",,2,6,17,17,2,1,2,1,0,"SimCo_M_ET_RR","ok",0,0.401145,2,584,2996,2996,1,219,165,1,0
"data/automata/random/TGBA.hoa:680.1-702.7",,2,5,9,9,2,2,0,0,0,"SimCo_S_J_SCC","ok",0,0.0617567,2,21,75,120,1,13,9,1,0
"data/automata/random/TGBA.hoa:680.1-702.7",,2,5,9,9,2,2,0,0,0,"SimCo_S_J_M_SCC","ok",0,0.0517713,2,21,75,120,1,13,9,1,0
"data/automata/random/TGBA.hoa:680.1-702.7",,2,5,9,9,2,2,0,0,0,"SimCo_M_ET_RR","ok",0,0.0466552,2,22,124,124,1,14,9,1,0
"data/automata/random/TGBA.hoa:703.1-727.7",,3,5,11,11,2,1,1,1,0,"SimCo_S_J_SCC","ok",0,0.0728657,3,29,328,328,1,10,12,1,0
"data/automata/random/TGBA.hoa:703.1-727.7",,3,5,11,11,2,1,1,1,0,"SimCo_S_J_M_SCC","ok",0,0.0752801,3,29,328,328,1,10,12,1,0
"data/automata/random/TGBA.hoa:703.1-727.7",,3,5,11,11,2,1,1,1,0,"SimCo_M_ET_RR","ok",0,0.0790308,3,54,600,600,1,24,21,1,0
"data/automata/random/TGBA.hoa:728.1-742.7",,3,2,4,4,2,1,1,1,0,"SimCo_S_J_SCC","ok",0,0.0564601,3,17,192,192,1,12,7,1,0
"data/automata/random/TGBA.hoa:728.1-742.7",,3,2,4,4,2,1,1,1,0,"SimCo_S_J_M_SCC","ok",0,0.0577109,3,17,192,192,1,12,7,1,0
"data/automata/random/TGBA.hoa:728.1-742.7",,3,2,4,4,2,1,1,1,0,"SimCo_M_ET_RR","ok",0,0.0582514,3,27,296,296,1,20,10,1,0
"data/automata/random/TGBA.hoa:743.1-773.7",,3,7,15,15,2,1,1,1,0,"SimCo_S_J_SCC","ok",0,0.085172,3,48,544,544,1,20,20,1,0
"data/automata/random/TGBA.hoa:743.1-773.7",,3,7,15,15,2,1,1,1,0,"SimCo_S_J_M_SCC","ok",0,0.0896847,3,48,544,544,1,20,20,1,0
"data/automata/random/TGBA.hoa:743.1-773.7",,3,7,15,15,2,1,1,1,0,"SimCo_M_ET_RR","ok",0,0.0872123,3,70,768,768,1,29,26,1,0
