"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo_Base","ok",0,0.217874,2,345,1736,1736,1,90,89,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo_Skip","ok",0,0.148739,2,267,1358,1358,1,67,89,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo_Jump","ok",0,0.192608,2,345,1736,1736,1,90,89,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo_SCC","ok",0,0.100725,2,84,440,440,1,18,26,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo_EarlyTaint","ok",0,0.18695,2,334,1692,1692,1,85,89,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo_Merge","ok",0,0.191374,2,340,1716,1716,1,89,89,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo_RoundRobin","ok",0,0.186788,2,356,1780,1780,1,106,89,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo_Base","ok",0,0.0443502,2,16,88,88,1,9,6,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo_Skip","ok",0,0.0448118,2,12,68,68,1,7,6,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo_Jump","ok",0,0.0454765,2,12,64,64,1,6,4,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo_SCC","ok",0,0.0488052,2,13,72,72,1,6,5,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo_EarlyTaint","ok",0,0.0498404,2,15,84,84,1,8,6,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo_Merge","ok",0,0.0478263,2,16,88,88,1,9,6,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo_RoundRobin","ok",0,0.0457604,2,15,84,84,1,8,6,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo_Base","ok",0,0.0473075,2,13,72,72,1,11,5,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo_Skip","ok",0,0.0458461,2,10,58,58,1,9,5,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo_Jump","ok",0,0.043593,2,13,72,72,1,11,5,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo_SCC","ok",0,0.0425793,2,10,56,56,1,8,4,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo_EarlyTaint","ok",0,0.0439561,2,13,72,72,1,11,5,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo_Merge","ok",0,0.041684,2,13,72,72,1,11,5,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo_RoundRobin","ok",0,0.0417399,2,13,72,72,1,11,5,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo_Base","ok",0,0.0452619,2,19,108,108,1,15,8,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo_Skip","ok",0,0.0473039,2,15,84,84,1,13,7,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo_Jump","ok",0,0.0460583,2,19,108,108,1,15,8,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo_SCC","ok",0,0.0455332,2,16,92,92,1,12,7,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo_EarlyTaint","ok",0,0.0433926,2,18,104,104,1,14,8,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo_Merge","ok",0,0.0454189,2,19,108,108,1,15,8,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo_RoundRobin","ok",0,0.0460264,2,18,104,104,1,14,8,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SimCo_Base","ok",0,0.159807,2,257,1300,1300,1,98,68,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SimCo_Skip","ok",0,0.12403,2,186,1002,1002,1,64,68,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SimCo_Jump","ok",0,0.151327,2,267,1344,1344,1,97,69,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SimCo_SCC","ok",0,0.084417,2,78,412,412,1,29,25,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SimCo_EarlyTaint","ok",0,0.155865,2,275,1372,1372,1,110,68,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SimCo_Merge","ok",0,0.167724,2,252,1280,1280,1,97,68,1,0
