"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo","ok",0,0.160327,2,345,1736,1736,1,90,89,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"SimCo+","ok",0,0.0783826,2,84,440,440,1,18,26,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"Kofola","ok",0,0.0211138,2,107,314,351,1,16,24,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"Seminator","ok",0,0.0678964,2,79,197,218,1,22,24,1,0
"data/automata/random/TGBA.hoa:1.1-25.7",,2,5,11,11,2,1,3,1,0,"Autfilt","ok",0,0.00491305,2,130,369,408,1,23,25,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo","ok",0,0.0382341,2,16,88,88,1,9,6,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"SimCo+","ok",0,0.0405926,2,11,60,60,1,5,4,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"Kofola","ok",0,0.00399886,2,7,13,21,1,3,2,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"Seminator","ok",0,0.0040692,2,8,17,26,1,4,2,1,0
"data/automata/random/TGBA.hoa:26.1-41.7",,2,3,4,4,2,1,0,0,0,"Autfilt","ok",0,0.00315763,2,7,13,21,1,3,2,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo","ok",0,0.0397899,2,13,72,72,1,11,5,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"SimCo+","ok",0,0.0402629,2,10,56,56,1,8,4,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"Kofola","ok",0,0.00356599,2,4,8,14,1,3,1,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"Seminator","ok",0,0.00340692,2,5,12,19,1,4,2,1,0
"data/automata/random/TGBA.hoa:42.1-55.7",,2,2,3,3,2,1,0,0,0,"Autfilt","ok",0,0.00290358,2,5,10,16,1,4,1,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo","ok",0,0.0380035,2,19,108,108,1,15,8,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"SimCo+","ok",0,0.0406915,2,16,92,92,1,12,7,1,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"Kofola","ok",0,0.00366213,2,5,10,20,1,3,0,0,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"Seminator","ok",0,0.00324198,2,5,10,20,1,3,0,0,0
"data/automata/random/TGBA.hoa:56.1-73.7",,2,4,5,5,2,2,0,0,0,"Autfilt","ok",0,0.00274921,2,5,10,20,1,3,0,0,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SimCo","ok",0,0.123265,2,257,1300,1300,1,98,68,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"SimCo+","ok",0,0.073445,2,78,412,412,1,28,25,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"Kofola","ok",0,0.00502397,2,34,92,107,1,9,10,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"Seminator","ok",0,0.0156371,2,31,86,104,1,7,9,1,0
"data/automata/random/TGBA.hoa:74.1-94.7",,2,4,8,8,2,1,2,1,0,"Autfilt","ok",0,0.00334549,2,37,98,113,1,11,10,1,0
"data/automata/random/TGBA.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SimCo","ok",0,0.0481216,2,44,244,244,1,24,17,1,0
"data/automata/random/TGBA.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"SimCo+","ok",0,0.0488782,2,29,168,168,1,14,13,1,0
"data/automata/random/TGBA.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"Kofola","ok",0,0.00462815,2,16,41,54,1,5,4,1,0
"data/automata/random/TGBA.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"Seminator","ok",0,0.00599983,2,16,39,52,1,5,2,1,0
"data/automata/random/TGBA.hoa:95.1-121.7",,2,6,12,12,2,2,2,1,0,"Autfilt","ok",0,0.00339606,2,16,41,54,1,5,4,1,0
"data/automata/random/TGBA.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SimCo","ok",0,0.252513,2,638,3304,3304,1,259,188,1,0
"data/automata/random/TGBA.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"SimCo+","ok",0,0.112331,2,156,860,860,1,66,59,1,0
"data/automata/random/TGBA.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"Kofola","ok",0,0.00651138,2,62,208,223,1,6,16,1,0
"data/automata/random/TGBA.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"Seminator","ok",0,0.0438358,2,72,222,242,1,6,23,1,0
"data/automata/random/TGBA.hoa:122.1-154.7",,2,7,17,17,2,1,2,1,0,"Autfilt","ok",0,0.00358469,2,55,189,204,1,4,16,1,0
"data/automata/random/TGBA.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SimCo","ok",0,0.107582,2,166,924,924,1,90,65,1,0
"data/automata/random/TGBA.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"SimCo+","ok",0,0.0544177,2,35,145,196,1,17,14,1,0
"data/automata/random/TGBA.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"Kofola","ok",0,0.00511272,2,23,64,79,1,9,6,1,0
"data/automata/random/TGBA.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"Seminator","ok",0,0.0107265,2,25,63,83,1,14,5,1,0
"data/automata/random/TGBA.hoa:155.1-183.7",,2,6,14,14,2,2,4,1,0,"Autfilt","ok",0,0.00355804,2,22,62,77,1,8,6,1,0
