,input.source,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,SimCo,SimCo_exit_status,Autfilt,Autfilt_exit_status,Seminator,Seminator_exit_status,Kofola,Kofola_exit_status,SimCo+,SimCo+_exit_status
0,data/automata/practice/practice_automata.hoa:1.1-8843.7,3,1933,6901,7393,4,550,925,1,0,34484.0,ok,424.0,ok,183.0,ok,247.0,ok,4249.0,ok
1,data/automata/practice/practice_automata.hoa:8844.1-9203.7,5,74,277,610,2,6,20,1,0,10819.0,ok,260.0,ok,145.0,ok,206.0,ok,969.0,ok
2,data/automata/practice/practice_automata.hoa:9204.1-9398.7,4,32,154,154,2,23,19,1,0,217.0,ok,8.0,ok,7.0,ok,10.0,ok,53.0,ok
3,data/automata/practice/practice_automata.hoa:9399.1-9440.7,3,14,19,19,2,14,6,1,0,26.0,ok,10.0,ok,9.0,ok,9.0,ok,20.0,ok
4,data/automata/practice/practice_automata.hoa:9441.1-9477.7,3,6,22,40,2,3,2,1,0,81.0,ok,5.0,ok,4.0,ok,5.0,ok,26.0,ok
5,data/automata/practice/practice_automata.hoa:11461.1-14152.7,8,138,2545,10099,2,45,77,1,0,982.0,ok,50.0,ok,50.0,ok,50.0,ok,255.0,ok
6,data/automata/practice/practice_automata.hoa:14153.1-14196.7,3,9,26,32,2,6,5,1,0,55.0,ok,6.0,ok,5.0,ok,6.0,ok,28.0,ok
7,data/automata/practice/practice_automata.hoa:14197.1-14223.7,3,5,13,13,2,4,4,1,0,42.0,ok,4.0,ok,3.0,ok,3.0,ok,17.0,ok
8,data/automata/practice/practice_automata.hoa:14224.1-17759.7,2,1117,2410,2410,2,357,541,1,0,10782.0,ok,1287.0,ok,373.0,ok,666.0,ok,2556.0,ok
9,data/automata/practice/practice_automata.hoa:17760.1-17786.7,2,5,13,13,2,4,4,1,0,42.0,ok,4.0,ok,3.0,ok,3.0,ok,17.0,ok
10,data/automata/practice/practice_automata.hoa:17787.1-17836.7,4,11,30,54,2,8,3,1,0,27.0,ok,8.0,ok,8.0,ok,8.0,ok,16.0,ok
11,data/automata/practice/practice_automata.hoa:17837.1-17858.7,2,4,9,16,2,4,3,1,0,79.0,ok,4.0,ok,1.0,ok,2.0,ok,18.0,ok
12,data/automata/practice/practice_automata.hoa:17859.1-18175.7,8,43,265,435,2,21,0,0,0,155.0,ok,44.0,ok,7.0,ok,9.0,ok,89.0,ok
13,data/automata/practice/practice_automata.hoa:18176.1-18219.7,3,9,26,32,2,6,5,1,0,55.0,ok,6.0,ok,5.0,ok,6.0,ok,28.0,ok
14,data/automata/practice/practice_automata.hoa:18220.1-22686.7,4,1199,3259,3599,2,619,258,1,0,13093.0,ok,240.0,ok,174.0,ok,177.0,ok,3538.0,ok
15,data/automata/practice/practice_automata.hoa:22687.1-24227.7,2,341,1191,1382,2,341,227,1,0,592.0,ok,216.0,ok,88.0,ok,88.0,ok,536.0,ok
16,data/automata/practice/practice_automata.hoa:24228.1-27737.7,3,863,2638,3085,3,207,328,1,0,19864.0,ok,296.0,ok,141.0,ok,221.0,ok,3279.0,ok
17,data/automata/practice/practice_automata.hoa:27738.1-27923.7,3,25,152,221,2,13,9,1,0,4172.0,ok,30.0,ok,20.0,ok,29.0,ok,120.0,ok
18,data/automata/practice/practice_automata.hoa:27924.1-27950.7,2,5,13,13,2,4,4,1,0,42.0,ok,4.0,ok,3.0,ok,3.0,ok,17.0,ok
19,data/automata/practice/practice_automata.hoa:27951.1-27972.7,2,4,9,16,2,4,3,1,0,79.0,ok,4.0,ok,1.0,ok,2.0,ok,18.0,ok
20,data/automata/practice/practice_automata.hoa:27973.1-27994.7,2,4,9,16,2,4,3,1,0,79.0,ok,4.0,ok,1.0,ok,2.0,ok,18.0,ok
21,data/automata/practice/practice_automata.hoa:27995.1-28075.7,2,28,44,55,2,23,1,1,0,95.0,ok,29.0,ok,26.0,ok,29.0,ok,71.0,ok
22,data/automata/practice/practice_automata.hoa:28076.1-31547.7,12,209,3254,4875,2,33,0,0,0,,timeout,454.0,ok,445.0,ok,210.0,ok,,timeout
23,data/automata/practice/practice_automata.hoa:31548.1-156126.7,8,15685,108885,157456,3,10025,5175,1,0,,timeout,49918.0,ok,,timeout,38311.0,ok,,timeout
24,data/automata/practice/practice_automata.hoa:156127.1-157585.7,4,158,1292,1373,3,48,98,1,0,,timeout,132.0,ok,165.0,ok,78.0,ok,1513.0,ok
25,data/automata/practice/practice_automata.hoa:157586.1-157746.7,1,48,104,106,2,48,29,1,0,111.0,ok,8.0,ok,8.0,ok,8.0,ok,90.0,ok
26,data/automata/practice/practice_automata.hoa:157747.1-157799.7,2,10,34,45,2,10,6,1,0,115.0,ok,10.0,ok,5.0,ok,6.0,ok,43.0,ok
27,data/automata/practice/practice_automata.hoa:157800.1-166642.7,3,1933,6901,7393,4,550,925,1,0,34484.0,ok,424.0,ok,183.0,ok,247.0,ok,4249.0,ok
28,data/automata/practice/practice_automata.hoa:166643.1-166677.7,3,12,14,14,2,10,2,1,0,26.0,ok,5.0,ok,5.0,ok,5.0,ok,22.0,ok
29,data/automata/practice/practice_automata.hoa:166678.1-166738.7,2,11,41,49,2,10,10,1,0,110.0,ok,3.0,ok,2.0,ok,2.0,ok,39.0,ok
30,data/automata/practice/practice_automata.hoa:166739.1-166791.7,3,10,34,40,2,9,8,1,0,36.0,ok,4.0,ok,3.0,ok,4.0,ok,14.0,ok
31,data/automata/practice/practice_automata.hoa:166792.1-166843.7,3,13,30,31,2,11,8,1,0,59.0,ok,10.0,ok,9.0,ok,8.0,ok,41.0,ok
32,data/automata/practice/practice_automata.hoa:166844.1-166924.7,2,16,56,56,3,16,13,1,0,24.0,ok,6.0,ok,5.0,ok,5.0,ok,12.0,ok
33,data/automata/practice/practice_automata.hoa:166925.1-200936.7,4,5663,28340,38263,2,2405,3882,1,0,,timeout,10838.0,ok,7789.0,ok,,timeout,,timeout
34,data/automata/practice/practice_automata.hoa:200937.1-201096.7,3,38,113,153,2,32,24,1,0,336.0,ok,14.0,ok,11.0,ok,16.0,ok,151.0,ok
35,data/automata/practice/practice_automata.hoa:201097.1-202176.7,7,72,999,2637,2,22,39,1,0,562.0,ok,26.0,ok,25.0,ok,28.0,ok,135.0,ok
36,data/automata/practice/practice_automata.hoa:202177.1-202351.7,4,30,136,181,2,17,18,1,0,175.0,ok,12.0,ok,11.0,ok,10.0,ok,49.0,ok
37,data/automata/practice/practice_automata.hoa:202352.1-203992.7,3,244,1388,1388,4,130,148,1,0,15275.0,ok,47.0,ok,106.0,ok,29.0,ok,720.0,ok
38,data/automata/practice/practice_automata.hoa:203993.1-204024.7,3,10,13,13,2,10,4,1,0,22.0,ok,8.0,ok,7.0,ok,7.0,ok,16.0,ok
39,data/automata/practice/practice_automata.hoa:204025.1-204169.7,3,29,107,135,2,26,20,1,0,252.0,ok,20.0,ok,17.0,ok,18.0,ok,125.0,ok
40,data/automata/practice/practice_automata.hoa:204170.1-204664.7,10,79,407,662,2,48,0,0,0,238.0,ok,80.0,ok,11.0,ok,20.0,ok,161.0,ok
41,data/automata/practice/practice_automata.hoa:204665.1-205127.7,2,138,316,316,2,137,48,1,0,601.0,ok,54.0,ok,53.0,ok,54.0,ok,289.0,ok
42,data/automata/practice/practice_automata.hoa:205128.1-208637.7,3,863,2638,3085,3,207,328,1,0,19864.0,ok,296.0,ok,141.0,ok,221.0,ok,3279.0,ok
43,data/automata/practice/practice_automata.hoa:208638.1-208819.7,4,25,148,221,2,13,9,1,0,7273.0,ok,31.0,ok,21.0,ok,30.0,ok,233.0,ok
44,data/automata/practice/practice_automata.hoa:208820.1-208993.7,3,45,120,130,2,33,32,1,0,327.0,ok,11.0,ok,9.0,ok,10.0,ok,102.0,ok
45,data/automata/practice/practice_automata.hoa:208994.1-209036.7,3,14,20,20,2,14,8,1,0,24.0,ok,9.0,ok,7.0,ok,7.0,ok,18.0,ok
46,data/automata/practice/practice_automata.hoa:209037.1-209109.7,4,23,41,41,2,13,5,1,0,97.0,ok,15.0,ok,14.0,ok,14.0,ok,35.0,ok
47,data/automata/practice/practice_automata.hoa:209110.1-209803.7,4,81,604,685,2,17,17,1,0,14013.0,ok,63.0,ok,37.0,ok,65.0,ok,440.0,ok
48,data/automata/practice/practice_automata.hoa:209804.1-242540.7,14,1621,31107,38387,3,52,486,1,0,,timeout,26413.0,ok,23464.0,ok,46067.0,ok,,timeout
49,data/automata/practice/practice_automata.hoa:242541.1-242584.7,3,9,26,32,2,6,5,1,0,55.0,ok,6.0,ok,5.0,ok,6.0,ok,28.0,ok
50,data/automata/practice/practice_automata.hoa:242585.1-242689.7,4,18,78,78,2,11,13,1,0,132.0,ok,9.0,ok,8.0,ok,8.0,ok,45.0,ok
51,data/automata/practice/practice_automata.hoa:242690.1-242717.7,1,7,12,12,2,7,3,1,0,20.0,ok,6.0,ok,5.0,ok,5.0,ok,12.0,ok
52,data/automata/practice/practice_automata.hoa:242718.1-242761.7,3,9,26,32,2,6,5,1,0,55.0,ok,6.0,ok,5.0,ok,6.0,ok,28.0,ok
53,data/automata/practice/practice_automata.hoa:242762.1-242830.7,2,14,46,46,2,10,9,1,0,76.0,ok,5.0,ok,4.0,ok,4.0,ok,21.0,ok
54,data/automata/practice/practice_automata.hoa:242831.1-242874.7,3,9,26,32,2,6,5,1,0,55.0,ok,6.0,ok,5.0,ok,6.0,ok,28.0,ok
55,data/automata/practice/practice_automata.hoa:242875.1-244515.7,3,244,1388,1388,4,130,148,1,0,15275.0,ok,47.0,ok,106.0,ok,29.0,ok,720.0,ok
56,data/automata/practice/practice_automata.hoa:244516.1-244596.7,2,28,44,55,2,23,1,1,0,95.0,ok,29.0,ok,26.0,ok,29.0,ok,71.0,ok
57,data/automata/practice/practice_automata.hoa:244597.1-245272.7,4,220,447,447,2,142,43,1,0,1430.0,ok,29.0,ok,19.0,ok,20.0,ok,632.0,ok
58,data/automata/practice/practice_automata.hoa:245273.1-248369.7,4,656,2432,4015,2,155,134,1,0,15812.0,ok,1187.0,ok,544.0,ok,746.0,ok,3993.0,ok
59,data/automata/practice/practice_automata.hoa:248370.1-248492.7,4,22,92,102,2,17,13,1,0,167.0,ok,8.0,ok,7.0,ok,6.0,ok,35.0,ok
60,data/automata/practice/practice_automata.hoa:248493.1-249015.7,1,157,357,359,2,157,101,1,0,341.0,ok,10.0,ok,10.0,ok,10.0,ok,288.0,ok
61,data/automata/practice/practice_automata.hoa:249016.1-249073.7,3,11,38,38,2,10,8,1,0,55.0,ok,4.0,ok,3.0,ok,4.0,ok,15.0,ok
62,data/automata/practice/practice_automata.hoa:249074.1-249250.7,3,46,122,187,2,16,14,1,0,714.0,ok,56.0,ok,30.0,ok,32.0,ok,197.0,ok
63,data/automata/practice/practice_automata.hoa:249251.1-249373.7,4,22,92,102,2,17,13,1,0,167.0,ok,8.0,ok,7.0,ok,6.0,ok,35.0,ok
64,data/automata/practice/practice_automata.hoa:249374.1-249399.7,2,4,13,16,2,3,2,1,0,72.0,ok,7.0,ok,3.0,ok,5.0,ok,25.0,ok
65,data/automata/practice/practice_automata.hoa:249400.1-252757.7,8,164,3185,12659,2,59,93,1,0,1039.0,ok,62.0,ok,62.0,ok,62.0,ok,267.0,ok
66,data/automata/practice/practice_automata.hoa:252758.1-252801.7,3,9,26,32,2,6,5,1,0,55.0,ok,6.0,ok,5.0,ok,6.0,ok,28.0,ok
67,data/automata/practice/practice_automata.hoa:252802.1-255160.7,6,154,2196,2931,2,44,90,1,0,1053.0,ok,52.0,ok,52.0,ok,52.0,ok,275.0,ok
68,data/automata/practice/practice_automata.hoa:255161.1-255204.7,3,8,27,64,2,8,7,1,0,115.0,ok,8.0,ok,1.0,ok,2.0,ok,42.0,ok
69,data/automata/practice/practice_automata.hoa:255205.1-255365.7,4,26,126,126,2,17,16,1,0,194.0,ok,9.0,ok,8.0,ok,8.0,ok,43.0,ok
70,data/automata/practice/practice_automata.hoa:255366.1-255466.7,2,19,73,83,2,11,7,1,0,190.0,ok,17.0,ok,37.0,ok,17.0,ok,97.0,ok
71,data/automata/practice/practice_automata.hoa:255467.1-255488.7,2,4,9,16,2,4,3,1,0,79.0,ok,4.0,ok,1.0,ok,2.0,ok,18.0,ok
72,data/automata/practice/practice_automata.hoa:255489.1-255545.7,3,20,28,28,2,20,9,1,0,36.0,ok,13.0,ok,7.0,ok,7.0,ok,28.0,ok
73,data/automata/practice/practice_automata.hoa:255546.1-255567.7,2,4,9,16,2,4,3,1,0,79.0,ok,4.0,ok,1.0,ok,2.0,ok,18.0,ok
74,data/automata/practice/practice_automata.hoa:255568.1-255741.7,3,45,120,130,2,33,32,1,0,327.0,ok,11.0,ok,9.0,ok,10.0,ok,102.0,ok
75,data/automata/practice/practice_automata.hoa:255742.1-257084.7,3,337,997,1146,2,97,91,1,0,5553.0,ok,235.0,ok,190.0,ok,199.0,ok,1510.0,ok
76,data/automata/practice/practice_automata.hoa:257085.1-257106.7,2,4,9,16,2,4,3,1,0,79.0,ok,4.0,ok,1.0,ok,2.0,ok,18.0,ok
77,data/automata/practice/practice_automata.hoa:257107.1-258266.7,6,90,1061,1694,2,37,53,1,0,583.0,ok,34.0,ok,34.0,ok,34.0,ok,141.0,ok
