,input.source,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,Seminator,Seminator_exit_status,Kofola,Kofola_exit_status,SimCo+,SimCo+_exit_status,Autfilt,Autfilt_exit_status,SimCo,SimCo_exit_status
0,data/automata/random/TGBA.hoa:1.1-25.7,2,5,11,11,2,1,3,1,0,79.0,ok,107.0,ok,84.0,ok,130.0,ok,345.0,ok
1,data/automata/random/TGBA.hoa:26.1-41.7,2,3,4,4,2,1,0,0,0,8.0,ok,7.0,ok,11.0,ok,7.0,ok,16.0,ok
2,data/automata/random/TGBA.hoa:42.1-55.7,2,2,3,3,2,1,0,0,0,5.0,ok,4.0,ok,10.0,ok,5.0,ok,13.0,ok
3,data/automata/random/TGBA.hoa:56.1-73.7,2,4,5,5,2,2,0,0,0,5.0,ok,5.0,ok,16.0,ok,5.0,ok,19.0,ok
4,data/automata/random/TGBA.hoa:74.1-94.7,2,4,8,8,2,1,2,1,0,31.0,ok,34.0,ok,78.0,ok,37.0,ok,257.0,ok
5,data/automata/random/TGBA.hoa:95.1-121.7,2,6,12,12,2,2,2,1,0,16.0,ok,16.0,ok,29.0,ok,16.0,ok,44.0,ok
6,data/automata/random/TGBA.hoa:122.1-154.7,2,7,17,17,2,1,2,1,0,72.0,ok,62.0,ok,156.0,ok,55.0,ok,638.0,ok
7,data/automata/random/TGBA.hoa:155.1-183.7,2,6,14,14,2,2,4,1,0,25.0,ok,23.0,ok,35.0,ok,22.0,ok,166.0,ok
8,data/automata/random/TGBA.hoa:184.1-210.7,2,6,12,12,2,2,2,1,0,26.0,ok,25.0,ok,55.0,ok,25.0,ok,82.0,ok
9,data/automata/random/TGBA.hoa:211.1-224.7,2,2,3,3,2,1,1,1,0,2.0,ok,2.0,ok,10.0,ok,7.0,ok,13.0,ok
10,data/automata/random/TGBA.hoa:225.1-252.7,2,7,12,12,2,2,3,1,0,17.0,ok,17.0,ok,45.0,ok,17.0,ok,102.0,ok
11,data/automata/random/TGBA.hoa:253.1-282.7,2,6,15,15,2,1,1,1,0,65.0,ok,41.0,ok,106.0,ok,65.0,ok,265.0,ok
12,data/automata/random/TGBA.hoa:283.1-304.7,2,4,9,9,2,1,2,1,0,10.0,ok,10.0,ok,41.0,ok,10.0,ok,94.0,ok
13,data/automata/random/TGBA.hoa:305.1-327.7,2,5,9,9,2,2,2,1,0,9.0,ok,11.0,ok,25.0,ok,11.0,ok,55.0,ok
14,data/automata/random/TGBA.hoa:328.1-355.7,2,6,13,13,2,1,1,1,0,72.0,ok,73.0,ok,147.0,ok,74.0,ok,420.0,ok
15,data/automata/random/TGBA.hoa:356.1-376.7,2,4,8,8,2,1,1,1,0,9.0,ok,8.0,ok,60.0,ok,10.0,ok,116.0,ok
16,data/automata/random/TGBA.hoa:377.1-402.7,2,5,12,12,2,1,3,1,0,28.0,ok,27.0,ok,46.0,ok,28.0,ok,174.0,ok
17,data/automata/random/TGBA.hoa:403.1-434.7,2,7,16,16,2,1,3,1,0,182.0,ok,197.0,ok,330.0,ok,197.0,ok,1479.0,ok
18,data/automata/random/TGBA.hoa:435.1-469.7,2,7,19,19,2,1,2,1,0,111.0,ok,139.0,ok,182.0,ok,134.0,ok,689.0,ok
19,data/automata/random/TGBA.hoa:470.1-501.7,2,7,16,16,2,1,1,1,0,28.0,ok,27.0,ok,78.0,ok,25.0,ok,238.0,ok
20,data/automata/random/TGBA.hoa:502.1-533.7,2,7,16,16,2,1,3,1,0,71.0,ok,63.0,ok,147.0,ok,72.0,ok,518.0,ok
21,data/automata/random/TGBA.hoa:534.1-567.7,2,7,18,18,2,1,2,1,0,57.0,ok,73.0,ok,218.0,ok,69.0,ok,1012.0,ok
22,data/automata/random/TGBA.hoa:568.1-594.7,2,6,12,12,2,2,1,1,0,12.0,ok,11.0,ok,43.0,ok,11.0,ok,76.0,ok
23,data/automata/random/TGBA.hoa:595.1-627.7,2,7,17,17,2,1,3,1,0,29.0,ok,25.0,ok,64.0,ok,28.0,ok,205.0,ok
24,data/automata/random/TGBA.hoa:628.1-647.7,2,4,7,7,2,1,0,0,0,8.0,ok,7.0,ok,12.0,ok,7.0,ok,23.0,ok
25,data/automata/random/TGBA.hoa:648.1-679.7,2,6,17,17,2,1,2,1,0,32.0,ok,31.0,ok,89.0,ok,31.0,ok,578.0,ok
26,data/automata/random/TGBA.hoa:680.1-702.7,2,5,9,9,2,2,0,0,0,9.0,ok,8.0,ok,21.0,ok,9.0,ok,22.0,ok
27,data/automata/random/TGBA.hoa:703.1-727.7,3,5,11,11,2,1,1,1,0,14.0,ok,13.0,ok,29.0,ok,13.0,ok,54.0,ok
28,data/automata/random/TGBA.hoa:728.1-742.7,3,2,4,4,2,1,1,1,0,8.0,ok,7.0,ok,17.0,ok,8.0,ok,27.0,ok
29,data/automata/random/TGBA.hoa:743.1-773.7,3,7,15,15,2,1,1,1,0,20.0,ok,22.0,ok,48.0,ok,22.0,ok,69.0,ok
30,data/automata/random/TGBA.hoa:774.1-808.7,3,7,19,19,2,1,2,1,0,84.0,ok,49.0,ok,136.0,ok,59.0,ok,466.0,ok
31,data/automata/random/TGBA.hoa:809.1-837.7,3,6,14,14,2,1,2,1,0,27.0,ok,26.0,ok,68.0,ok,27.0,ok,236.0,ok
32,data/automata/random/TGBA.hoa:838.1-855.7,3,4,5,5,2,1,0,0,0,12.0,ok,10.0,ok,18.0,ok,10.0,ok,21.0,ok
33,data/automata/random/TGBA.hoa:856.1-887.7,3,7,16,16,2,1,2,1,0,46.0,ok,43.0,ok,62.0,ok,45.0,ok,261.0,ok
34,data/automata/random/TGBA.hoa:888.1-903.7,3,3,4,4,2,1,0,0,0,6.0,ok,6.0,ok,10.0,ok,6.0,ok,13.0,ok
